Added Member To Class: ClassName=BMS_Slave Member=Component C77 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C78 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C79 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C80 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C81 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C82 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C83 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C84 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C85 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C86 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C87 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C88 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C89 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C90 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C91 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C92 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C93 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C94 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C95 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C96 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C97 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C98 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C99 200V, 0.01uF, 0603, X7R
Added Member To Class: ClassName=BMS_Slave Member=Component C100 200V, 0.01uF, 0603, X7R
