Change Component Comment: Designator=C50 Old Comment=200V, 0.1uF, 0603, X7R New Comment=200V, 0.01uF, 0603, X7R
Change Component Comment: Designator=C51 Old Comment=200V, 0.1uF, 0603, X7R New Comment=200V, 0.01uF, 0603, X7R
Change Component Comment: Designator=C69 Old Comment=200V, 0.1uF, 0603, X7R New Comment=200V, 0.01uF, 0603, X7R
Change Component Comment: Designator=C70 Old Comment=200V, 0.1uF, 0603, X7R New Comment=200V, 0.01uF, 0603, X7R
Change Component Comment: Designator=C25 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C26 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C27 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C28 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C29 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C30 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C31 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C32 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C33 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C34 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C35 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C36 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C37 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C38 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C39 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C40 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C41 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C42 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C43 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C44 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C45 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C46 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C47 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
Change Component Comment: Designator=C48 Old Comment=200V, 0.01uF, 0603, X7R New Comment=200V, 0.01uF, 0805, X7R
